=== 2019 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 05 | Time: 01:05:48 | TomMollekin Torfaen A (Les Croupiers A)
Pos 06 | Time: 01:06:00 | Richard Basham Lliswerry (Caerphilly A)
Pos 07 | Time: 01:06:58 | Mike Dury Islwyn A (Chepstow A)
Pos 08 | Time: 01:07:29 | James Tucker Chepstow B (Pont-y-pwl & District B)
Pos 09 | Time: 01:08:54 | Alex Hutton-Lewis Caerphilly A (Spirit of Monmouth A)
Pos 10 | Time: 01:09:11 | Gareth Knight (Fairwater A)
Pos 11 | Time: 01:11:00 | Andrew Gunter Parc Bryn Bach A Parc Bryn Bach A (Independent A)
Pos 12 | Time: 01:11:18 | Sean Kelly Rhondda Valley A (Ogmore Phoenix A)
Pos 13 | Time: 01:12:17 | Adrian Murkin (Pont-y-pwl & District A)
Pos 14 | Time: 01:12:22 | Mickey Havard (San Domenico A)
Pos 15 | Time: 01:12:24 | Andrew Dawe Lliswerry B (Fairwater B)
Pos 16 | Time: 01:12:27 | Jeremy Masters (Spirit of Monmouth A)
Pos 17 | Time: 01:12:40 | Leif Geoghegan Caldicot A (Griffithstown A)
Pos 18 | Time: 01:14:33 | Philip Jones Islwyn B (Lliswerry B)
Pos 19 | Time: 01:14:44 | Tony Mackay Pegasus (Rhondda Valley A)
Pos 20 | Time: 01:17:14 | Steven James (Ogmore Phoenix A)
Pos 21 | Time: 01:18:21 | Andrew Little (Caerphilly B)
Pos 22 | Time: 01:18:52 | Matt Tooby (Caerleon A)
Pos 23 | Time: 01:19:08 | Martin Stark (Pont-y-pwl & District B)
Pos 24 | Time: 01:22:45 | Huw Keveren Davies (Pontypridd A)
Pos 25 | Time: 01:23:02 | Justin Pocknell Caerleon B (Pontypridd B)
Pos 26 | Time: 01:25:44 | Elle Goodridge (Brackla A)
Pos 27 | Time: 01:30:00 | Nathan Harper Parc Bryn Bach B (Pont-y-pwl & District B)
Pos 28 | Time: 01:30:01 | Adam Gardner (Fairwater B)
Total Runners Extracted for Leg 9: 28

--- LEG 10 ---
Pos 01 | Time: 00:32:46 | Mike Lewis (Fairwater A)
Pos 02 | Time: 00:33:39 | Ben Miles (Pont-y-pwl & District A)
Pos 03 | Time: 00:37:43 | Nicky Collin (Lliswerry A)
Pos 04 | Time: 00:37:49 | Sarah Bell Chepstow (Aberdare Valley A)
Pos 05 | Time: 00:38:28 | HarriLike Torfaen A (Les Croupiers A)
Pos 06 | Time: 00:40:13 | Emma Edwards (Caerphilly A)
Pos 07 | Time: 00:41:30 | Alex Wilson Spirit of Monmouth A (Pont-y-pwl & District A)
Pos 08 | Time: 00:42:48 | Kevin Dupe (Caerleon A)
Pos 09 | Time: 00:43:14 | Carys Shun Malarczyk Islwyn A (Spirit of Monmouth A)
Pos 10 | Time: 00:43:28 | Lolly Evans (Les Croupiers A)
Pos 11 | Time: 00:43:37 | Rachel Lewis Parc Bryn Bach A Parc Bryn Bach A (Independent A)
Pos 12 | Time: 00:43:46 | Paul Harvey (Pont-y-pwl & District B)
Pos 13 | Time: 00:43:50 | Holly Ryder (Aberdare Valley A)
Pos 14 | Time: 00:44:52 | Ruth Mampilly Pontypridd A (Ogmore Phoenix A)
Pos 15 | Time: 00:45:06 | Ella Boorman Lliswerry B (San Domenico B)
Pos 16 | Time: 00:45:08 | Megan Poulson (San Domenico A)
Pos 17 | Time: 00:46:14 | Kim Carwardine Chepstow B (Lliswerry B)
Pos 18 | Time: 00:47:25 | Gemma Reeks Caldicot A (Griffithstown A)
Pos 19 | Time: 00:47:34 | Sally Groves Pegasus (Rhondda Valley A)
Pos 20 | Time: 00:50:58 | Helen Warrender (Griffithstown A)
Pos 21 | Time: 00:51:00 | Teresa Davies Parc Bryn Bach (Brackla B)
Pos 22 | Time: 00:51:01 | Michelle Clabon (Caerleon B)
